Iteration,Avg Residual,Avg Error
767,-0.0244588,0.0984423
768,-0.0244516,0.0984205
769,-0.0244444,0.0983987
770,-0.0244373,0.0983769
771,-0.0244301,0.0983552
772,-0.024423,0.0983334
773,-0.0244159,0.0983117
774,-0.0244088,0.09829
775,-0.0244016,0.0982683
776,-0.0243945,0.0982467
777,-0.0243874,0.0982251
778,-0.0243803,0.0982035
779,-0.0243732,0.0981819
780,-0.0243661,0.0981603
781,-0.024359,0.0981388
782,-0.024352,0.0981173
783,-0.0243449,0.0980958
784,-0.0243378,0.0980743
785,-0.0243308,0.0980529
786,-0.0243237,0.0980315
787,-0.0243167,0.0980101
788,-0.0243096,0.0979887
789,-0.0243026,0.0979673
790,-0.0242956,0.097946
791,-0.0242886,0.0979247
792,-0.0242815,0.0979034
793,-0.0242745,0.0978821
794,-0.0242675,0.0978609
795,-0.0242605,0.0978397
796,-0.0242535,0.0978185
797,-0.0242466,0.0977973
798,-0.0242396,0.0977762
799,-0.0242326,0.097755
800,-0.0242256,0.0977339
801,-0.0242187,0.0977129
802,-0.0242117,0.0976918
803,-0.0242048,0.0976708
804,-0.0241978,0.0976497
805,-0.0241909,0.0976287
806,-0.0241839,0.0976078
807,-0.024177,0.0975868
808,-0.0241701,0.0975659
809,-0.0241632,0.097545
810,-0.0241563,0.0975241
811,-0.0241494,0.0975032
812,-0.0241425,0.0974824
813,-0.0241356,0.0974616
814,-0.0241287,0.0974408
815,-0.0241218,0.09742
816,-0.024115,0.0973993
817,-0.0241081,0.0973785
818,-0.0241012,0.0973578
819,-0.0240944,0.0973371
820,-0.0240875,0.0973165
821,-0.0240807,0.0972958
822,-0.0240738,0.0972752
823,-0.024067,0.0972546
824,-0.0240602,0.097234
825,-0.0240534,0.0972135
826,-0.0240465,0.0971929
827,-0.0240397,0.0971724
828,-0.0240329,0.0971519
829,-0.0240261,0.0971315
830,-0.0240193,0.097111
831,-0.0240126,0.0970906
832,-0.0240058,0.0970702
833,-0.023999,0.0970498
834,-0.0239922,0.0970294
835,-0.0239855,0.0970091
836,-0.0239787,0.0969888
837,-0.023972,0.0969685
838,-0.0239652,0.0969482
839,-0.0239585,0.096928
840,-0.0239517,0.0969077
841,-0.023945,0.0968875
842,-0.0239383,0.0968673
843,-0.0239316,0.0968471
844,-0.0239249,0.096827
845,-0.0239182,0.0968069
846,-0.0239115,0.0967868
847,-0.0239048,0.0967667
848,-0.0238981,0.0967466
849,-0.0238914,0.0967266
850,-0.0238847,0.0967065
851,-0.0238781,0.0966865
852,-0.0238714,0.0966665
853,-0.0238647,0.0966466
854,-0.0238581,0.0966266
855,-0.0238514,0.0966067
856,-0.0238448,0.0965868
857,-0.0238381,0.096567
858,-0.0238315,0.0965471
859,-0.0238249,0.0965273
860,-0.0238183,0.0965074
861,-0.0238117,0.0964876
862,-0.023805,0.0964679
863,-0.0237984,0.0964481
864,-0.0237918,0.0964284
865,-0.0237853,0.0964087
866,-0.0237787,0.096389
867,-0.0237721,0.0963693
868,-0.0237655,0.0963497
869,-0.0237589,0.09633
870,-0.0237524,0.0963104
871,-0.0237458,0.0962908
872,-0.0237393,0.0962713
873,-0.0237327,0.0962517
874,-0.0237262,0.0962322
875,-0.0237196,0.0962127
876,-0.0237131,0.0961932
877,-0.0237066,0.0961737
878,-0.0237001,0.0961543
879,-0.0236936,0.0961349
880,-0.0236871,0.0961155
881,-0.0236805,0.0960961
882,-0.0236741,0.0960767
883,-0.0236676,0.0960574
884,-0.0236611,0.096038
885,-0.0236546,0.0960187
886,-0.0236481,0.0959994
887,-0.0236417,0.0959802
888,-0.0236352,0.0959609
889,-0.0236287,0.0959417
890,-0.0236223,0.0959225
891,-0.0236158,0.0959033
892,-0.0236094,0.0958842
893,-0.023603,0.095865
894,-0.0235965,0.0958459
895,-0.0235901,0.0958268
896,-0.0235837,0.0958077
897,-0.0235773,0.0957886
898,-0.0235709,0.0957696
899,-0.0235644,0.0957506
900,-0.023558,0.0957316
901,-0.0235517,0.0957126
902,-0.0235453,0.0956936
903,-0.0235389,0.0956747
904,-0.0235325,0.0956557
905,-0.0235261,0.0956368
906,-0.0235198,0.0956179
907,-0.0235134,0.0955991
908,-0.0235071,0.0955802
909,-0.0235007,0.0955614
910,-0.0234944,0.0955426
911,-0.023488,0.0955238
912,-0.0234817,0.095505
913,-0.0234754,0.0954863
914,-0.023469,0.0954675
915,-0.0234627,0.0954488
916,-0.0234564,0.0954301
917,-0.0234501,0.0954115
918,-0.0234438,0.0953928
919,-0.0234375,0.0953742
920,-0.0234312,0.0953556
921,-0.0234249,0.095337
922,-0.0234187,0.0953184
923,-0.0234124,0.0952998
924,-0.0234061,0.0952813
925,-0.0233999,0.0952628
926,-0.0233936,0.0952443
927,-0.0233873,0.0952258
928,-0.0233811,0.0952073
929,-0.0233748,0.0951889
930,-0.0233686,0.0951705
931,-0.0233624,0.0951521
932,-0.0233562,0.0951337
933,-0.0233499,0.0951153
934,-0.0233437,0.095097
935,-0.0233375,0.0950786
936,-0.0233313,0.0950603
937,-0.0233251,0.095042
938,-0.0233189,0.0950238
939,-0.0233127,0.0950055
940,-0.0233065,0.0949873
941,-0.0233004,0.0949691
942,-0.0232942,0.0949509
943,-0.023288,0.0949327
944,-0.0232818,0.0949145
945,-0.0232757,0.0948964
946,-0.0232695,0.0948783
947,-0.0232634,0.0948602
948,-0.0232572,0.0948421
949,-0.0232511,0.094824
950,-0.023245,0.094806
951,-0.0232388,0.0947879
952,-0.0232327,0.0947699
953,-0.0232266,0.0947519
954,-0.0232205,0.094734
955,-0.0232144,0.094716
956,-0.0232083,0.0946981
957,-0.0232022,0.0946802
958,-0.0231961,0.0946623
959,-0.02319,0.0946444
960,-0.0231839,0.0946265
961,-0.0231779,0.0946087
962,-0.0231718,0.0945909
963,-0.0231657,0.094573
964,-0.0231597,0.0945553
965,-0.0231536,0.0945375
966,-0.0231476,0.0945197
967,-0.0231415,0.094502
968,-0.0231355,0.0944843
969,-0.0231294,0.0944666
970,-0.0231234,0.0944489
971,-0.0231174,0.0944312
972,-0.0231114,0.0944136
973,-0.0231054,0.094396
974,-0.0230994,0.0943784
975,-0.0230934,0.0943608
976,-0.0230874,0.0943432
977,-0.0230814,0.0943257
978,-0.0230754,0.0943081
979,-0.0230694,0.0942906
980,-0.0230634,0.0942731
981,-0.0230574,0.0942556
